description,size,price,product_code,typeid,qty_break,qty_discount,qty_instock,qty_ordered,special,clearance,can_backorder,status,modified,cost,last_costed_date,supplier,width,height,length,shipping_volume,shipping_weight,actual_weight,shipping_container,display_order,barcode,color_name,color_background_color,color_background_image,notify_when_instock,source,new_product,core_product,low_stock_level,rrp,product_note,shopify_id,shopify_variant_id,shopify_published,shopify_handle,shopify_type,shopify_tags,shopify_option1_name,shopify_option1_value,shopify_option2_name,shopify_option2_value,shopify_option3_name,shopify_option3_value,shopify_image_src,shopify_image_alt_text,shopify_variant_weight,shopify_variant_weight_unit
Long Neck Dachshund Style,30cm,2685,DCDH30-blu,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,300,932222902343,Blue,,,n,B,0,0,0,5370,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,30cm,2685,DCDH30-gry,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,280,932222902344,Grey,,,n,B,0,0,0,5370,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,30cm,2685,DCDH30-pur,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,260,932222902345,Purple,,,n,B,0,0,0,5370,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,30cm,2685,DCDH30-red,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,240,932222902346,Red,,,n,B,0,0,0,5370,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,30cm,2685,DCDH30-tqb,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,220,932222902347,Turquoise Blue,,,n,B,0,0,0,5370,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,35cm,2716,DCDH35-blu,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,200,932222902348,Blue,,,n,B,0,0,0,5432,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,35cm,2716,DCDH35-gry,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,180,932222902349,Grey,,,n,B,0,0,0,5432,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,35cm,2716,DCDH35-pur,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,160,932222902350,Purple,,,n,B,0,0,0,5432,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,35cm,2716,DCDH35-red,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,140,932222902351,Red,,,n,B,0,0,0,5432,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,35cm,2716,DCDH35-tqb,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,120,932222902352,Turquoise Blue,,,n,B,0,0,0,5432,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,40cm,2748,DCDH40-blu,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,100,932222902353,Blue,,,n,B,0,0,0,5496,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,40cm,2748,DCDH40-gry,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,80,932222902354,Grey,,,n,B,0,0,0,5496,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,40cm,2748,DCDH40-pur,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,60,932222902355,Purple,,,n,B,0,0,0,5496,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,40cm,2748,DCDH40-red,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,40,932222902356,Red,,,n,B,0,0,0,5496,,,,1,,,,,,,,,,,,,
Long Neck Dachshund Style,40cm,2748,DCDH40-tqb,956,0,0,0,0,0,0,y,active,,1357,3/06/2021,K9 Homes Pet Products,0,0,0,0,0,0,,20,932222902357,Turquoise Blue,,,n,B,0,0,0,5496,,,,1,,,,,,,,,,,,,
